time,F
0.000000e+00,0.000000e+00
1.000000e-02,1.665145e-05
2.000000e-02,3.323462e-05
3.000000e-02,4.964916e-05
4.000000e-02,6.575853e-05
5.000000e-02,8.141308e-05
6.000000e-02,9.647304e-05
7.000000e-02,1.108242e-04
8.000000e-02,1.243851e-04
9.000000e-02,1.371071e-04
1.000000e-01,1.489703e-04
1.100000e-01,1.599782e-04
1.200000e-01,1.701520e-04
1.300000e-01,1.795249e-04
1.400000e-01,1.881378e-04
1.500000e-01,1.960365e-04
1.600000e-01,2.032687e-04
1.700000e-01,2.098822e-04
1.800000e-01,2.159239e-04
1.900000e-01,2.214389e-04
2.000000e-01,2.264701e-04
2.100000e-01,2.310576e-04
2.200000e-01,2.352390e-04
2.300000e-01,2.390491e-04
2.400000e-01,2.425200e-04
2.500000e-01,2.456814e-04
2.600000e-01,2.485603e-04
2.700000e-01,2.511818e-04
2.800000e-01,2.535686e-04
2.900000e-01,2.557416e-04
3.000000e-01,2.577199e-04
3.100000e-01,2.595207e-04
3.200000e-01,2.611600e-04
3.300000e-01,2.626523e-04
3.400000e-01,2.640105e-04
3.500000e-01,2.652469e-04
3.600000e-01,2.663723e-04
3.700000e-01,2.673966e-04
3.800000e-01,2.683289e-04
3.900000e-01,2.691776e-04
4.000000e-01,2.699500e-04
4.100000e-01,2.706530e-04
4.200000e-01,2.712929e-04
4.300000e-01,2.718753e-04
4.400000e-01,2.724054e-04
4.500000e-01,2.728879e-04
4.600000e-01,2.733271e-04
4.700000e-01,2.737268e-04
4.800000e-01,2.740906e-04
4.900000e-01,2.744217e-04
5.000000e-01,2.747231e-04
5.100000e-01,2.749974e-04
5.200000e-01,2.752471e-04
5.300000e-01,2.754743e-04
5.400000e-01,2.756811e-04
5.500000e-01,2.758694e-04
5.600000e-01,2.760407e-04
5.700000e-01,2.761967e-04
5.800000e-01,2.763386e-04
5.900000e-01,2.764678e-04
6.000000e-01,2.765854e-04
6.100000e-01,2.766924e-04
6.200000e-01,2.767898e-04
6.300000e-01,2.768784e-04
6.400000e-01,2.769591e-04
6.500000e-01,2.770325e-04
6.600000e-01,2.770993e-04
6.700000e-01,2.771601e-04
6.800000e-01,2.772155e-04
6.900000e-01,2.772659e-04
7.000000e-01,2.773117e-04
7.100000e-01,2.773534e-04
7.200000e-01,2.773914e-04
7.300000e-01,2.774259e-04
7.400000e-01,2.774574e-04
7.500000e-01,2.774860e-04
7.600000e-01,2.775120e-04
7.700000e-01,2.775357e-04
7.800000e-01,2.775572e-04
7.900000e-01,2.775768e-04
8.000000e-01,2.775947e-04
8.100000e-01,2.776109e-04
8.200000e-01,2.776257e-04
8.300000e-01,2.776391e-04
8.400000e-01,2.776513e-04
8.500000e-01,2.776624e-04
8.600000e-01,2.776725e-04
8.700000e-01,2.776817e-04
8.800000e-01,2.776900e-04
8.900000e-01,2.776975e-04
9.000000e-01,2.777044e-04
9.100000e-01,2.777106e-04
9.200000e-01,2.777163e-04
9.300000e-01,2.777214e-04
9.400000e-01,2.777261e-04
9.500000e-01,2.777303e-04
9.600000e-01,2.777341e-04
9.700000e-01,2.777375e-04
9.800000e-01,2.777406e-04
9.900000e-01,2.777434e-04
1.000000e+00,2.777459e-04
1.010000e+00,2.777482e-04
1.020000e+00,2.777502e-04
1.030000e+00,2.777520e-04
1.040000e+00,2.777537e-04
1.050000e+00,2.777551e-04
1.060000e+00,2.777564e-04
1.070000e+00,2.777574e-04
1.080000e+00,2.777585e-04
1.090000e+00,2.777593e-04
1.100000e+00,2.777600e-04
1.110000e+00,2.777606e-04
1.120000e+00,2.777612e-04
1.130000e+00,2.777614e-04
1.140000e+00,2.777618e-04
1.150000e+00,2.777622e-04
1.160000e+00,2.777625e-04
1.170000e+00,2.777626e-04
1.180000e+00,2.777627e-04
1.190000e+00,2.777629e-04
1.200000e+00,2.777630e-04
1.210000e+00,2.777631e-04
1.220000e+00,2.777632e-04
1.230000e+00,2.777634e-04
1.240000e+00,2.777635e-04
1.250000e+00,2.777636e-04
1.260000e+00,2.777637e-04
1.270000e+00,2.777639e-04
1.280000e+00,2.777640e-04
1.290000e+00,2.777641e-04
1.300000e+00,2.777642e-04
1.310000e+00,2.777643e-04
1.320000e+00,2.777645e-04
1.330000e+00,2.777646e-04
1.340000e+00,2.777647e-04
1.350000e+00,2.777648e-04
1.360000e+00,2.777649e-04
1.370000e+00,2.777650e-04
1.380000e+00,2.777651e-04
1.390000e+00,2.777652e-04
1.400000e+00,2.777654e-04
1.410000e+00,2.777655e-04
1.420000e+00,2.777656e-04
1.430000e+00,2.777657e-04
1.440000e+00,2.777658e-04
1.450000e+00,2.777659e-04
1.460000e+00,2.777660e-04
1.470000e+00,2.777661e-04
1.480000e+00,2.777662e-04
1.490000e+00,2.777663e-04
1.500000e+00,2.777664e-04
1.510000e+00,2.777665e-04
1.520000e+00,2.777666e-04
1.530000e+00,2.777667e-04
1.540000e+00,2.777668e-04
1.550000e+00,2.777669e-04
1.560000e+00,2.777670e-04
1.570000e+00,2.777671e-04
